player;nationality;position;team;age;matches;minutes;goals;assists;xg;tm_name_match;market_value_euro;tm_position;last_update;kpi_cost_per_goal;kpi_moneyball
Bruninho;BRA;Meio-Campista;Fortaleza;19;1;68;0;0;0.0;N/A;0.0;N/A;N/A;0.0;0.0
Fabrício Bruno;BRA;Defensor;Cruzeiro;28;33;2950;3;0;1.3;Fabrício Bruno;12000000.0;Zagueiro;10/12/2025;4000000.0;3.58
Gustavo Caballero;PAR;Atacante;Santos;23;12;332;1;1;1.0;N/A;0.0;N/A;N/A;0.0;0.0
Arthur Cabral;BRA;Atacante;Botafogo (RJ);26;21;1439;4;2;5.1;Arthur Cabral;9000000.0;Centroavante;10/12/2025;2250000.0;12.33
Cacá;BRA;Defensor;Corinthians;25;18;1408;2;0;1.1;N/A;0.0;N/A;N/A;0.0;0.0
Raúl Cáceres;PAR;Defensor;Vitória;33;20;1685;2;2;1.0;N/A;0.0;N/A;N/A;0.0;0.0
Cadu;BRA;Defensor;Atlético Mineiro;20;1;7;0;0;0.2;N/A;0.0;N/A;N/A;0.0;0.0
Calebe;BRA;Meio-Campista;Fortaleza;24;7;229;1;0;0.5;N/A;0.0;N/A;N/A;0.0;0.0
Jonathan Calleri;ARG;Atacante;São Paulo;31;3;121;0;0;0.9;N/A;0.0;N/A;N/A;0.0;0.0
João Camargo;BRA;Atacante;Flamengo;17;1;18;0;0;0.0;N/A;0.0;N/A;N/A;0.0;0.0
Camilo;BRA;Meio-Campista;Grêmio;25;16;735;0;0;0.2;N/A;0.0;N/A;N/A;0.0;0.0
Camutanga;BRA;Defensor;Vitória;31;15;1238;0;0;0.3;N/A;0.0;N/A;N/A;0.0;0.0
Luan Cândido;BRA;Defensor;Sport Recife;23;16;1318;1;0;1.2;N/A;0.0;N/A;N/A;0.0;0.0
Germán Cano;ARG;Atacante;Fluminense;36;22;1498;6;0;5.2;N/A;0.0;N/A;N/A;0.0;0.0
Agustín Canobbio;URU;Atacante;Fluminense;26;30;2108;4;2;5.8;Agustín Canobbio;6000000.0;Ponta Esquerda;10/12/2025;1500000.0;19.67
Aitor Cantalapiedra;ESP;Meio-Campista;Vitória;28;19;1275;3;3;2.9;N/A;0.0;N/A;N/A;0.0;0.0
Juninho Capixaba;BRA;Defensor;RB Bragantino;27;24;1972;1;1;2.4;N/A;0.0;N/A;N/A;0.0;0.0
Johan Carbonero;COL;Atacante;Internacional;25;23;1457;5;2;4.6;N/A;0.0;N/A;N/A;0.0;0.0
Felipe Cardoso;BRA;Atacante;Vitória;21;3;78;0;0;0.1;N/A;0.0;N/A;N/A;0.0;0.0
Edson Carioca;BRA;Atacante;Mirassol;27;21;1168;4;2;3.7;N/A;0.0;N/A;N/A;0.0;0.0
Igor Cariús;BRA;Defensor;Sport Recife;31;28;1726;1;0;1.1;N/A;0.0;N/A;N/A;0.0;0.0
Carlinhos;BRA;Atacante;Vitória;27;6;165;1;0;1.5;N/A;0.0;N/A;N/A;0.0;0.0
Antonio Carlos;BRA;Defensor;Sport Recife;31;3;270;0;0;0.0;Marcos Antônio;9000000.0;Meia Central;10/12/2025;0.0;0.0
Jean Carlos Vicente;BRA;Meio-Campista;Juventude;32;7;203;0;0;0.2;N/A;0.0;N/A;N/A;0.0;0.0
Ruan Carneiro;BRA;Goleiro;Juventude;34;4;360;0;0;0.0;N/A;0.0;N/A;N/A;0.0;0.0
Jorge Carrascal;COL;Atacante;Flamengo;26;16;821;2;5;2.3;Jorge Carrascal;9000000.0;Meia Ofensivo;10/12/2025;4500000.0;10.33
André Carrillo;PER;Meio-Campista;Corinthians;33;22;1279;1;0;1.1;N/A;0.0;N/A;N/A;0.0;0.0
Gabriel Carvalho;BRA;Atacante;Internacional;17;3;72;0;0;0.1;N/A;0.0;N/A;N/A;0.0;0.0
Cássio;BRA;Goleiro;Cruzeiro;37;35;3086;0;0;0.0;N/A;0.0;N/A;N/A;0.0;0.0
Iury de Castilho;BRA;Atacante;Mirassol;29;9;499;1;0;1.5;N/A;0.0;N/A;N/A;0.0;0.0
Caue;BRA;Defensor;RB Bragantino;18;2;41;0;1;0.0;N/A;0.0;N/A;N/A;0.0;0.0
Murilo Cerqueira;BRA;Defensor;Palmeiras;27;20;1660;1;1;0.6;N/A;0.0;N/A;N/A;0.0;0.0
Julio Cesar;BRA;Defensor;Fluminense;18;3;176;0;1;0.3;N/A;0.0;N/A;N/A;0.0;0.0
Kayky Chagas;BRA;Atacante;Bahia;21;26;890;1;2;1.4;N/A;0.0;N/A;N/A;0.0;0.0
Gabriel Chapecó;BRA;Goleiro;Grêmio;24;6;540;0;0;0.0;N/A;0.0;N/A;N/A;0.0;0.0
Chico;BRA;Meio-Campista;Mirassol;33;13;349;1;1;0.4;N/A;0.0;N/A;N/A;0.0;0.0
Chico;BRA;Defensor;Sport Recife;26;13;1060;0;0;0.5;N/A;0.0;N/A;N/A;0.0;0.0
Christian;BRA;Atacante;Cruzeiro;24;30;2357;5;2;5.8;Christian;10000000.0;Meia Central;10/12/2025;2000000.0;12.8
Cipriano;BRA;Defensor;Juventude;22;3;189;0;0;0.0;N/A;0.0;N/A;N/A;0.0;0.0
Claudinho;BRA;Defensor;Vitória;24;15;901;0;0;0.5;N/A;0.0;N/A;N/A;0.0;0.0
Clayson;BRA;Atacante;Mirassol;29;6;256;0;1;0.1;N/A;0.0;N/A;N/A;0.0;0.0
Clayton;BRA;Defensor;Internacional;24;11;762;0;0;0.3;N/A;0.0;N/A;N/A;0.0;0.0
Cleiton;BRA;Defensor;Flamengo;21;2;79;0;0;0.0;N/A;0.0;N/A;N/A;0.0;0.0
Mateus Cocão;BRA;Meio-Campista;Vasco da Gama;22;19;593;0;0;0.2;N/A;0.0;N/A;N/A;0.0;0.0
Igor Coronado;BRA;Meio-Campista;Corinthians;32;6;342;1;0;0.8;N/A;0.0;N/A;N/A;0.0;0.0
Joaquín Correa;ARG;Meio-Campista;Botafogo (RJ);30;18;898;2;0;2.5;N/A;0.0;N/A;N/A;0.0;0.0
Francisco da Costa;BRA;Atacante;Mirassol;29;20;1190;6;0;4.5;N/A;0.0;N/A;N/A;0.0;0.0
Philippe Coutinho;BRA;Meio-Campista;Vasco da Gama;32;30;2403;5;3;4.1;N/A;0.0;N/A;N/A;0.0;0.0
Lucas Crispim;BRA;Meio-Campista;Fortaleza;30;10;424;1;1;0.7;N/A;0.0;N/A;N/A;0.0;0.0
Franco Cristaldo;ARG;Meio-Campista;Grêmio;28;30;1259;1;3;2.2;N/A;0.0;N/A;N/A;0.0;0.0
Gustavo Cuellar;COL;Meio-Campista;Grêmio;32;17;881;0;0;0.2;N/A;0.0;N/A;N/A;0.0;0.0
Tomás Cuello;ARG;Atacante;Atlético Mineiro;24;16;1203;1;1;2.4;Tomás Cuello;6000000.0;Ponta Esquerda;10/12/2025;6000000.0;7.33
Carlos Cuesta;COL;Defensor;Vasco da Gama;25;13;1092;1;0;0.8;Carlos Cuesta;7000000.0;Zagueiro;10/12/2025;7000000.0;2.57
Cuiabano;BRA;Defensor;Botafogo (RJ);21;30;1534;5;2;3.2;N/A;0.0;N/A;N/A;0.0;0.0
Jair Cunha;BRA;Defensor;Botafogo (RJ);19;11;990;0;1;0.5;N/A;0.0;N/A;N/A;0.0;0.0
Lucas Cunha;BRA;Defensor;Sport Recife;28;6;428;0;0;0.0;N/A;0.0;N/A;N/A;0.0;0.0
Danielzinho;BRA;Meio-Campista;Mirassol;30;37;3265;0;2;1.9;N/A;0.0;N/A;N/A;0.0;0.0
Danilo;BRA;Meio-Campista;Botafogo (RJ);23;13;827;1;3;0.7;Danilo;22000000.0;Volante;10/12/2025;22000000.0;2.14
Danilo;BRA;Defensor;Flamengo;33;20;1410;1;1;1.2;Danilo;22000000.0;Volante;10/12/2025;22000000.0;1.45
David;BRA;Atacante;Vasco da Gama;29;24;750;2;3;1.3;N/A;0.0;N/A;N/A;0.0;0.0
Matheus Davó;BRA;Atacante;Mirassol;25;2;35;0;1;0.3;N/A;0.0;N/A;N/A;0.0;0.0
Giorgian De Arrascaeta;URU;Meio-Campista;Flamengo;30;33;2350;18;14;9.8;Giorgian de Arrascaeta;15000000.0;Meia Ofensivo;10/12/2025;833333.33;27.87
Nicolás De La Cruz;URU;Meio-Campista;Flamengo;27;19;1018;0;0;0.7;Nicolás de la Cruz;9000000.0;Meia Central;10/12/2025;0.0;0.78
Gabriel Delfim;BRA;Goleiro;Atlético Mineiro;22;2;180;0;0;0.0;N/A;0.0;N/A;N/A;0.0;0.0
Deyverson;BRA;Atacante;Fortaleza;33;27;1174;7;0;5.9;N/A;0.0;N/A;N/A;0.0;0.0
Enzo Díaz;ARG;Defensor;São Paulo;29;27;1877;0;5;0.4;N/A;0.0;N/A;N/A;0.0;0.0
Lautaro Díaz;ARG;Atacante;Cruzeiro;26;6;85;0;0;0.0;N/A;0.0;N/A;N/A;0.0;0.0
Lautaro Díaz;ARG;Atacante;Santos;26;15;1020;3;2;3.3;N/A;0.0;N/A;N/A;0.0;0.0
Dieguinho Diego;BRA;Meio-Campista;Ceará;29;32;2653;0;2;0.5;N/A;0.0;N/A;N/A;0.0;0.0
Dieguinho;BRA;Atacante;Corinthians;17;13;451;0;1;0.7;Rodriguinho;6000000.0;Meia Ofensivo;10/12/2025;0.0;2.83
Diogenes;BRA;Goleiro;Santos;24;1;23;0;0;0.0;N/A;0.0;N/A;N/A;0.0;0.0
Dodi;BRA;Meio-Campista;Grêmio;28;32;2343;0;1;0.6;N/A;0.0;N/A;N/A;0.0;0.0
Fabricio Domínguez;URU;Meio-Campista;Sport Recife;26;4;100;0;0;0.1;N/A;0.0;N/A;N/A;0.0;0.0
Matheus Donelli;BRA;Goleiro;Corinthians;22;5;450;0;0;0.0;N/A;0.0;N/A;N/A;0.0;0.0
Mailton dos Santos;BRA;Defensor;São Paulo;26;8;388;0;0;0.1;N/A;0.0;N/A;N/A;0.0;0.0
Thiago dos Santos;BRA;Meio-Campista;Fluminense;35;10;287;0;0;0.1;N/A;0.0;N/A;N/A;0.0;0.0
Alexis Duarte;PAR;Defensor;Santos;24;5;405;0;0;0.1;N/A;0.0;N/A;N/A;0.0;0.0
David Duarte;BRA;Defensor;Bahia;30;25;2207;1;1;1.7;N/A;0.0;N/A;N/A;0.0;0.0
Dudu;BRA;Atacante;Cruzeiro;33;5;215;1;0;0.6;N/A;0.0;N/A;N/A;0.0;0.0
Dudu;BRA;Meio-Campista;Vitória;25;12;319;0;0;1.5;N/A;0.0;N/A;N/A;0.0;0.0
Dudu;BRA;Meio-Campista;Atlético Mineiro;33;18;1048;3;2;1.7;N/A;0.0;N/A;N/A;0.0;0.0
Edenílson;BRA;Meio-Campista;Grêmio;35;31;1802;3;2;4.2;N/A;0.0;N/A;N/A;0.0;0.0
Eder;BRA;Defensor;Ceará;29;3;270;0;0;0.3;N/A;0.0;N/A;N/A;0.0;0.0
EDU;BRA;Defensor;Vitória;24;20;1074;0;0;0.2;N/A;0.0;N/A;N/A;0.0;0.0
Carlos Eduardo;BRA;Meio-Campista;Cruzeiro;35;29;906;1;0;0.8;N/A;0.0;N/A;N/A;0.0;0.0
Carlos Eduardo;BRA;Atacante;Mirassol;28;24;734;2;5;3.8;N/A;0.0;N/A;N/A;0.0;0.0
Carlos Eduardo;BRA;Atacante;Vitória;28;2;41;0;0;0.0;N/A;0.0;N/A;N/A;0.0;0.0
Alysson Edward;BRA;Atacante;Grêmio;18;31;1718;1;2;3.0;N/A;0.0;N/A;N/A;0.0;0.0
Rodrigo Ely;BRA;Defensor;Grêmio;31;2;40;0;0;0.0;N/A;0.0;N/A;N/A;0.0;0.0
Emerson;BRA;Defensor;Flamengo;26;15;1247;1;1;0.6;N/A;0.0;N/A;N/A;0.0;0.0
Leandro Emmanuel Martínez;ARG;Meio-Campista;Fortaleza;30;14;741;1;1;0.4;N/A;0.0;N/A;N/A;0.0;0.0
Ênio;BRA;Meio-Campista;Juventude;23;26;1108;3;0;2.7;N/A;0.0;N/A;N/A;0.0;0.0
Erick;BRA;Meio-Campista;Bahia;27;16;683;1;0;2.0;N/A;0.0;N/A;N/A;0.0;0.0
Erick;BRA;Meio-Campista;Vitória;27;31;2054;3;5;2.1;N/A;0.0;N/A;N/A;0.0;0.0
Gonzalo Escobar;ARG;Defensor;Santos;27;30;2008;0;0;0.5;N/A;0.0;N/A;N/A;0.0;0.0
Lucas Esteves;BRA;Defensor;Grêmio;24;10;671;0;0;0.1;N/A;0.0;N/A;N/A;0.0;0.0
Guilherme Estrella;BRA;Meio-Campista;Vasco da Gama;19;1;19;0;0;0.0;N/A;0.0;N/A;N/A;0.0;0.0
Lucas Evangelista;BRA;Meio-Campista;Palmeiras;29;19;1046;2;1;1.1;N/A;0.0;N/A;N/A;0.0;0.0
Éverson;BRA;Goleiro;Atlético Mineiro;34;36;3240;0;0;0.0;Gerson;18000000.0;Meia Central;16/12/2025;0.0;0.0
Evertton;BRA;Meio-Campista;Flamengo;21;18;981;1;0;0.3;Everton;7000000.0;Ponta Esquerda;10/12/2025;7000000.0;1.86
Ewerton;BRA;Defensor;Juventude;24;18;1155;1;0;1.5;Everton;7000000.0;Ponta Esquerda;10/12/2025;7000000.0;3.57
Fabinho;BRA;Meio-Campista;RB Bragantino;22;28;1275;0;1;0.4;N/A;0.0;N/A;N/A;0.0;0.0
Fábio;BRA;Goleiro;Fluminense;44;38;3420;0;0;0.0;N/A;0.0;N/A;N/A;0.0;0.0
Fabrício;BRA;Atacante;Mirassol;27;8;301;0;0;0.5;N/A;0.0;N/A;N/A;0.0;0.0
Fabrício;BRA;Atacante;Vitória;24;17;393;0;2;1.0;N/A;0.0;N/A;N/A;0.0;0.0
Fagner;BRA;Defensor;Cruzeiro;35;10;830;0;0;0.1;N/A;0.0;N/A;N/A;0.0;0.0
Marcos Felipe;BRA;Goleiro;Bahia;28;11;972;0;0;0.0;N/A;0.0;N/A;N/A;0.0;0.0
Lucas Fernandes;BRA;Meio-Campista;Juventude;27;7;397;0;0;0.4;N/A;0.0;N/A;N/A;0.0;0.0
Matheus Fernandes;BRA;Meio-Campista;RB Bragantino;26;20;661;1;0;0.4;Matheus França;9000000.0;Meia Ofensivo;10/12/2025;9000000.0;1.56
Nathan Fernandes;BRA;Atacante;Botafogo (RJ);19;10;330;1;2;1.4;N/A;0.0;N/A;N/A;0.0;0.0
Fernandinho;BRA;Atacante;Ceará;27;22;995;0;1;2.2;N/A;0.0;N/A;N/A;0.0;0.0
Fernando;BRA;Meio-Campista;Internacional;37;6;412;0;0;0.4;N/A;0.0;N/A;N/A;0.0;0.0
Fernando;BRA;Atacante;RB Bragantino;25;14;316;0;0;1.2;N/A;0.0;N/A;N/A;0.0;0.0
Nahuel Ferraresi;VEN;Defensor;São Paulo;26;24;1797;0;3;0.5;N/A;0.0;N/A;N/A;0.0;0.0
Ferreira;BRA;Atacante;São Paulo;27;28;1580;5;4;4.5;Ferreirinha;7000000.0;Ponta Esquerda;10/12/2025;1400000.0;19.29
Bruno Ferreira;BRA;Goleiro;Ceará;30;31;2763;0;0;0.0;N/A;0.0;N/A;N/A;0.0;0.0
Lucas Ferreira;BRA;Atacante;São Paulo;18;13;761;0;0;1.1;N/A;0.0;N/A;N/A;0.0;0.0
Luiz Filipe;BRA;Atacante;Mirassol;23;1;14;0;0;0.0;N/A;0.0;N/A;N/A;0.0;0.0
André Filipinho;BRA;Defensor;Juventude;28;5;303;0;0;0.1;N/A;0.0;N/A;N/A;0.0;0.0
Riquelme Fillipi;BRA;Defensor;Palmeiras;18;2;28;0;0;0.1;N/A;0.0;N/A;N/A;0.0;0.0
Caíque França;BRA;Goleiro;Sport Recife;29;15;1350;0;0;0.0;N/A;0.0;N/A;N/A;0.0;0.0
Matheus França;BRA;Meio-Campista;Vasco da Gama;20;15;386;0;0;0.5;Matheus França;9000000.0;Meia Ofensivo;10/12/2025;0.0;0.56
Ryan Francisco;BRA;Atacante;São Paulo;18;8;205;2;0;0.5;Ryan Francisco;6000000.0;Centroavante;10/12/2025;3000000.0;4.17
Alan Franco;ECU;Meio-Campista;Atlético Mineiro;26;30;2628;1;0;0.4;N/A;0.0;N/A;N/A;0.0;0.0
Alan Franco;ARG;Defensor;São Paulo;28;29;2282;0;0;1.1;N/A;0.0;N/A;N/A;0.0;0.0
Luan Freitas;BRA;Defensor;Juventude;24;14;1124;0;1;0.2;N/A;0.0;N/A;N/A;0.0;0.0
Lucas Freitas;BRA;Defensor;Vasco da Gama;24;21;1552;1;0;0.3;N/A;0.0;N/A;N/A;0.0;0.0
Marlon Freitas;BRA;Meio-Campista;Botafogo (RJ);29;35;2924;1;4;1.3;Marlon Freitas;6000000.0;Volante;10/12/2025;6000000.0;10.5
Riquelme Freitas;BRA;Atacante;Grêmio;18;10;388;0;0;0.3;N/A;0.0;N/A;N/A;0.0;0.0
Juan Freytes;ARG;Defensor;Fluminense;25;33;2924;0;0;1.0;N/A;0.0;N/A;N/A;0.0;0.0
Adonis Frías;ARG;Defensor;Santos;26;13;1112;0;0;0.2;N/A;0.0;N/A;N/A;0.0;0.0
Bruno Fuchs;BRA;Defensor;Palmeiras;25;27;1723;2;1;1.2;N/A;0.0;N/A;N/A;0.0;0.0
Gabriel Fuentes;COL;Defensor;Fluminense;27;11;825;0;0;0.2;N/A;0.0;N/A;N/A;0.0;0.0
Daniel Fuzato;BRA;Goleiro;Vasco da Gama;27;3;182;0;0;0.0;N/A;0.0;N/A;N/A;0.0;0.0
Gabriel;BRA;Defensor;Bahia;23;13;948;0;0;0.1;N/A;0.0;N/A;N/A;0.0;0.0
Gabriel;BRA;Meio-Campista;Mirassol;35;25;1592;4;2;3.1;N/A;0.0;N/A;N/A;0.0;0.0
Gabriel;BRA;Goleiro;Vitória;32;1;90;0;0;0.0;N/A;0.0;N/A;N/A;0.0;0.0
Gabriel;BRA;Goleiro;Sport Recife;32;23;2070;0;0;0.0;N/A;0.0;N/A;N/A;0.0;0.0
Gabriel;BRA;Meio-Campista;RB Bragantino;32;33;2634;1;0;0.6;N/A;0.0;N/A;N/A;0.0;0.0
Victor Gabriel;BRA;Defensor;Internacional;20;14;1109;2;0;1.0;N/A;0.0;N/A;N/A;0.0;0.0
Antonio Galeano;PAR;Atacante;Ceará;24;38;3125;7;3;5.2;N/A;0.0;N/A;N/A;0.0;0.0
Emerson Galego;BRA;Atacante;Juventude;25;2;27;0;0;0.0;N/A;0.0;N/A;N/A;0.0;0.0
Mateo Gamarra;PAR;Defensor;Cruzeiro;24;2;154;0;0;0.0;N/A;0.0;N/A;N/A;0.0;0.0
Ganso;BRA;Meio-Campista;Fluminense;35;17;644;1;0;0.6;N/A;0.0;N/A;N/A;0.0;0.0
Maurício Garcez;BRA;Atacante;Juventude;27;3;61;0;0;0.0;N/A;0.0;N/A;N/A;0.0;0.0
Benjamín Garré;ARG;Atacante;Vasco da Gama;24;10;293;0;0;0.1;N/A;0.0;N/A;N/A;0.0;0.0
Rodrigo Garro;ARG;Meio-Campista;Corinthians;27;19;1410;0;3;1.5;Rodrigo Garro;12000000.0;Meia Ofensivo;10/12/2025;0.0;3.75
Lucas Gazal;BRA;Defensor;Fortaleza;25;7;546;0;1;0.4;N/A;0.0;N/A;N/A;0.0;0.0
Gerson;BRA;Atacante;Flamengo;27;9;711;0;2;0.7;Gerson;18000000.0;Meia Central;16/12/2025;0.0;1.5
Agustín Giay;ARG;Defensor;Palmeiras;21;29;1978;0;0;0.4;Agustín Giay;11000000.0;Lateral Dir.;10/12/2025;0.0;0.36
Gil;BRA;Defensor;Santos;37;8;720;0;0;0.4;N/A;0.0;N/A;N/A;0.0;0.0
Gilberto;BRA;Defensor;Bahia;31;23;1777;1;0;1.0;N/A;0.0;N/A;N/A;0.0;0.0
Gilberto;BRA;Atacante;Juventude;35;23;1099;2;2;2.6;N/A;0.0;N/A;N/A;0.0;0.0
Giovanny;BRA;Atacante;Juventude;27;19;653;0;2;1.0;N/A;0.0;N/A;N/A;0.0;0.0
Daniel Giraldo;COL;Meio-Campista;Juventude;32;15;681;0;0;0.0;N/A;0.0;N/A;N/A;0.0;0.0
Leonardo Godoy;ARG;Defensor;Santos;29;6;416;0;0;0.0;N/A;0.0;N/A;N/A;0.0;0.0
Davi Goes;BRA;Meio-Campista;Juventude;19;2;64;0;0;0.0;N/A;0.0;N/A;N/A;0.0;0.0
Johnny Góes;BRA;Defensor;Flamengo;17;1;90;0;1;0.0;N/A;0.0;N/A;N/A;0.0;0.0
Bruno Gomes;BRA;Meio-Campista;Internacional;23;14;981;0;2;0.4;N/A;0.0;N/A;N/A;0.0;0.0
Davi Gomes;BRA;Atacante;RB Bragantino;19;7;221;1;0;0.6;N/A;0.0;N/A;N/A;0.0;0.0
Fredi Gomes;BRA;Defensor;Bahia;18;1;90;0;0;0.0;N/A;0.0;N/A;N/A;0.0;0.0
Igor Gomes;BRA;Meio-Campista;Atlético Mineiro;25;34;1824;4;3;2.5;N/A;0.0;N/A;N/A;0.0;0.0
Carlos Gómez;COL;Atacante;Vasco da Gama;22;16;1028;1;5;2.6;N/A;0.0;N/A;N/A;0.0;0.0
Gustavo Gómez;PAR;Defensor;Palmeiras;31;27;2310;2;1;2.4;N/A;0.0;N/A;N/A;0.0;0.0
Nuno Gonçalo Moreira;POR;Atacante;Vasco da Gama;25;36;2549;7;5;3.9;N/A;0.0;N/A;N/A;0.0;0.0
Matheus Gonçalves;BRA;Atacante;Flamengo;19;4;69;0;0;0.0;N/A;0.0;N/A;N/A;0.0;0.0
Gregore;BRA;Meio-Campista;Botafogo (RJ);30;12;982;0;0;0.2;N/A;0.0;N/A;N/A;0.0;0.0
Guga;BRA;Defensor;Fluminense;26;17;992;1;1;0.1;N/A;0.0;N/A;N/A;0.0;0.0
Guilherme;BRA;Meio-Campista;Mirassol;33;12;539;2;0;1.0;N/A;0.0;N/A;N/A;0.0;0.0
Guilherme;BRA;Atacante;Santos;29;32;2250;4;7;4.9;N/A;0.0;N/A;N/A;0.0;0.0
Guilherme;BRA;Defensor;RB Bragantino;22;11;640;1;1;0.6;N/A;0.0;N/A;N/A;0.0;0.0
Guilherme;BRA;Meio-Campista;Flamengo;18;1;62;2;0;0.4;N/A;0.0;N/A;N/A;0.0;0.0
Ryan Guilherme;BRA;Meio-Campista;Cruzeiro;22;3;56;0;0;0.0;N/A;0.0;N/A;N/A;0.0;0.0
Zé Guilherme;BRA;Defensor;Bahia;19;3;86;0;0;0.1;N/A;0.0;N/A;N/A;0.0;0.0
Gustavinho;BRA;Meio-Campista;RB Bragantino;20;17;741;0;0;1.3;N/A;0.0;N/A;N/A;0.0;0.0
Gustavo;BRA;Goleiro;Juventude;31;10;855;0;0;0.0;N/A;0.0;N/A;N/A;0.0;0.0
Luiz Gustavo;BRA;Meio-Campista;São Paulo;37;12;780;1;0;0.5;N/A;0.0;N/A;N/A;0.0;0.0
Luiz Gustavo;BRA;Defensor;Vasco da Gama;18;5;288;0;0;0.0;N/A;0.0;N/A;N/A;0.0;0.0
Ryan Gustavo;BRA;Meio-Campista;Corinthians;21;16;527;0;0;0.1;N/A;0.0;N/A;N/A;0.0;0.0
Yeison Guzmán;COL;Meio-Campista;Fortaleza;26;5;188;0;0;0.0;N/A;0.0;N/A;N/A;0.0;0.0
Lucas Halter;BRA;Defensor;Vitória;24;33;2904;4;1;3.1;N/A;0.0;N/A;N/A;0.0;0.0
Héctor;ESP;Atacante;Corinthians;29;9;246;1;0;0.5;N/A;0.0;N/A;N/A;0.0;0.0
Henrique;BRA;Atacante;São Paulo;18;3;43;0;1;0.0;N/A;0.0;N/A;N/A;0.0;0.0
Bruno Henrique;BRA;Meio-Campista;Internacional;35;29;1397;2;0;2.5;N/A;0.0;N/A;N/A;0.0;0.0
Bruno Henrique;BRA;Atacante;Flamengo;34;32;1811;8;0;7.2;N/A;0.0;N/A;N/A;0.0;0.0
Dalbert Henrique;BRA;Defensor;Sport Recife;31;5;110;0;0;0.0;N/A;0.0;N/A;N/A;0.0;0.0
Gustavo Henrique;BRA;Defensor;Corinthians;31;23;2070;3;0;2.9;N/A;0.0;N/A;N/A;0.0;0.0
Matheus Henrique;BRA;Meio-Campista;Cruzeiro;27;17;723;0;0;0.2;N/A;0.0;N/A;N/A;0.0;0.0
Paulo Henrique;BRA;Defensor;Vasco da Gama;28;28;2490;1;8;1.9;Paulo Henrique;6000000.0;Lateral Dir.;10/12/2025;6000000.0;18.17
Pedro Henrique;BRA;Atacante;Ceará;34;28;1380;4;3;2.9;N/A;0.0;N/A;N/A;0.0;0.0
Pedro Henrique;BRA;Defensor;RB Bragantino;29;31;2654;1;1;0.8;N/A;0.0;N/A;N/A;0.0;0.0
Hércules;BRA;Meio-Campista;Fluminense;24;34;2160;3;1;1.9;Hércules;12000000.0;Meia Central;10/12/2025;4000000.0;4.92
Diogo Hereda;BRA;Defensor;Sport Recife;26;11;848;0;1;0.2;N/A;0.0;N/A;N/A;0.0;0.0
Marcelo Hermes;BRA;Defensor;Juventude;29;22;1858;2;5;1.1;N/A;0.0;N/A;N/A;0.0;0.0
José Herrera;ARG;Atacante;Fortaleza;21;19;1046;2;3;2.6;N/A;0.0;N/A;N/A;0.0;0.0
Lucca Holanda;BRA;Atacante;Ceará;21;1;12;0;0;0.0;N/A;0.0;N/A;N/A;0.0;0.0
Lucca Holanda;BRA;Atacante;Internacional;21;4;161;0;0;0.5;N/A;0.0;N/A;N/A;0.0;0.0
Hudson;BRA;Meio-Campista;Juventude;24;4;233;0;0;0.0;N/A;0.0;N/A;N/A;0.0;0.0
Hugo;BRA;Defensor;Corinthians;27;10;457;0;0;0.4;N/A;0.0;N/A;N/A;0.0;0.0
Victor Hugo;BRA;Meio-Campista;Santos;20;9;443;0;0;0.4;N/A;0.0;N/A;N/A;0.0;0.0
Victor Hugo;BRA;Defensor;Sport Recife;16;1;61;0;0;0.0;N/A;0.0;N/A;N/A;0.0;0.0
Victor Hugo;BRA;Meio-Campista;Flamengo;20;1;6;0;0;0.0;N/A;0.0;N/A;N/A;0.0;0.0
Vitor Hugo;BRA;Defensor;Atlético Mineiro;33;23;1639;3;0;1.2;N/A;0.0;N/A;N/A;0.0;0.0
Huguinho;BRA;Meio-Campista;Botafogo (RJ);17;1;24;0;0;0.0;N/A;0.0;N/A;N/A;0.0;0.0
Hulk;BRA;Atacante;Atlético Mineiro;38;33;2438;8;6;5.6;N/A;0.0;N/A;N/A;0.0;0.0
José Hurtado;ECU;Defensor;RB Bragantino;23;28;1864;1;0;0.4;N/A;0.0;N/A;N/A;0.0;0.0
Hyan;BRA;Meio-Campista;Santos;20;2;18;0;0;0.0;N/A;0.0;N/A;N/A;0.0;0.0
Hyoran;BRA;Meio-Campista;Sport Recife;31;12;402;0;1;0.6;N/A;0.0;N/A;N/A;0.0;0.0
Iago;BRA;Defensor;Bahia;27;15;626;1;0;0.9;N/A;0.0;N/A;N/A;0.0;0.0
Iago;BRA;Defensor;Flamengo;19;1;90;0;0;0.0;N/A;0.0;N/A;N/A;0.0;0.0
Ignácio;BRA;Defensor;Fluminense;28;19;1147;0;0;0.2;N/A;0.0;N/A;N/A;0.0;0.0
Juan Ignacio Dinenno;ARG;Atacante;Cruzeiro;30;1;12;0;0;0.0;N/A;0.0;N/A;N/A;0.0;0.0
Juan Ignacio Dinenno;ARG;Atacante;São Paulo;30;7;262;1;0;1.0;N/A;0.0;N/A;N/A;0.0;0.0
Juan Ignacio Ramírez;URU;Atacante;Sport Recife;27;8;291;0;0;0.8;N/A;0.0;N/A;N/A;0.0;0.0
Isaac;BRA;Defensor;Atlético Mineiro;20;1;6;0;0;0.0;N/A;0.0;N/A;N/A;0.0;0.0
Isaque;BRA;Meio-Campista;Fluminense;17;1;22;0;0;0.0;N/A;0.0;N/A;N/A;0.0;0.0
