player;nationality;position;team;age;matches;minutes;goals;assists;xg;tm_name_match;market_value_euro;tm_position;last_update;kpi_cost_per_goal;kpi_moneyball
Derik Lacerda;BRA;Atacante;Sport Recife;25;17;1446;6;0;7.3;N/A;0.0;N/A;N/A;0.0;0.0
Ignacio Laquintana;URU;Atacante;RB Bragantino;25;23;1017;4;3;1.6;N/A;0.0;N/A;N/A;0.0;0.0
Larson;BRA;Meio-Campista;Palmeiras;19;2;73;0;0;0.0;N/A;0.0;N/A;N/A;0.0;0.0
Joaquín Lavega;URU;Atacante;Fluminense;19;2;67;0;0;0.1;N/A;0.0;N/A;N/A;0.0;0.0
Leandrinho;BRA;Defensor;Vasco da Gama;19;2;57;0;0;0.0;N/A;0.0;N/A;N/A;0.0;0.0
Helton Leite;BRA;Goleiro;Fortaleza;34;4;360;0;0;0.0;N/A;0.0;N/A;N/A;0.0;0.0
Lelê;BRA;Atacante;Ceará;27;7;110;0;0;0.7;N/A;0.0;N/A;N/A;0.0;0.0
Mauricio Lemos;URU;Defensor;Vasco da Gama;29;4;243;0;0;0.0;N/A;0.0;N/A;N/A;0.0;0.0
Rubén Lezcano;PAR;Meio-Campista;Fluminense;20;4;57;0;0;0.1;N/A;0.0;N/A;N/A;0.0;0.0
Lima;BRA;Meio-Campista;Fluminense;28;28;1094;2;1;2.5;N/A;0.0;N/A;N/A;0.0;0.0
Lucas Lima;BRA;Meio-Campista;Ceará;24;11;127;0;0;0.1;N/A;0.0;N/A;N/A;0.0;0.0
Lucas Lima;BRA;Meio-Campista;Sport Recife;34;33;2550;3;7;2.7;N/A;0.0;N/A;N/A;0.0;0.0
Leonardo Linck;BRA;Goleiro;Botafogo (RJ);23;17;1486;0;0;0.0;N/A;0.0;N/A;N/A;0.0;0.0
Kauan Lindes;BRA;Meio-Campista;Botafogo (RJ);21;1;31;0;0;0.0;N/A;0.0;N/A;N/A;0.0;0.0
Samuel Lino;BRA;Atacante;Flamengo;25;21;1394;4;5;3.8;Samuel Lino;20000000.0;Ponta Esquerda;10/12/2025;5000000.0;6.4
Lenny Lobato;BRA;Atacante;Sport Recife;23;7;244;0;0;0.4;N/A;0.0;N/A;N/A;0.0;0.0
David Loiola;BRA;Defensor;Botafogo (RJ);22;22;1830;1;1;1.0;N/A;0.0;N/A;N/A;0.0;0.0
Marcelo Lomba;BRA;Goleiro;Palmeiras;38;3;270;0;0;0.0;N/A;0.0;N/A;N/A;0.0;0.0
Felipe Longo;BRA;Goleiro;Corinthians;19;6;540;0;0;0.0;N/A;0.0;N/A;N/A;0.0;0.0
Renzo López;URU;Atacante;Vitória;30;23;651;1;0;2.5;N/A;0.0;N/A;N/A;0.0;0.0
Lourenço;BRA;Meio-Campista;Ceará;27;33;1386;2;1;1.9;N/A;0.0;N/A;N/A;0.0;0.0
Lucão;BRA;Goleiro;RB Bragantino;23;4;360;0;0;0.0;N/A;0.0;N/A;N/A;0.0;0.0
Ayrton Lucas;BRA;Defensor;Flamengo;27;18;1231;2;0;1.4;Ayrton Lucas;5000000.0;Lateral Esq.;10/12/2025;2500000.0;6.8
Jean Lucas;BRA;Meio-Campista;Bahia;26;34;2674;3;1;3.9;Jean Lucas;12000000.0;Meia Central;10/12/2025;4000000.0;6.58
João Lucas;BRA;Defensor;Grêmio;26;10;506;0;0;0.1;N/A;0.0;N/A;N/A;0.0;0.0
Zé Lucas;BRA;Meio-Campista;Sport Recife;16;24;1596;0;0;1.1;N/A;0.0;N/A;N/A;0.0;0.0
Luciano;BRA;Atacante;São Paulo;31;32;2105;9;4;10.9;N/A;0.0;N/A;N/A;0.0;0.0
Lucio;BRA;Meio-Campista;Flamengo;17;1;68;0;0;0.0;N/A;0.0;N/A;N/A;0.0;0.0
Luighi;BRA;Atacante;Palmeiras;18;11;339;1;0;2.2;N/A;0.0;N/A;N/A;0.0;0.0
Victor Luis;BRA;Defensor;Vasco da Gama;31;7;273;0;0;0.1;N/A;0.0;N/A;N/A;0.0;0.0
Luisão;BRA;Defensor;Santos;21;6;438;0;0;0.1;N/A;0.0;N/A;N/A;0.0;0.0
David Luiz;BRA;Defensor;Fortaleza;37;7;399;0;0;0.2;N/A;0.0;N/A;N/A;0.0;0.0
Guilherme Luiz;BRA;Atacante;Ceará;19;7;148;0;1;0.2;N/A;0.0;N/A;N/A;0.0;0.0
