player;nationality;position;team;age;matches;minutes;goals;assists;xg
Raúl Cáceres;PAR;Defensor;Vitória;33;20;1685;2;2;1.0
Cadu;BRA;Defensor;Atlético Mineiro;20;1;7;0;0;0.2
Calebe;BRA;Meio-Campista;Fortaleza;24;7;229;1;0;0.5
Jonathan Calleri;ARG;Atacante;São Paulo;31;3;121;0;0;0.9
João Camargo;BRA;Atacante;Flamengo;17;1;18;0;0;0.0
Camilo;BRA;Meio-Campista;Grêmio;25;16;735;0;0;0.2
Camutanga;BRA;Defensor;Vitória;31;15;1238;0;0;0.3
Luan Cândido;BRA;Defensor;Sport Recife;23;16;1318;1;0;1.2
Germán Cano;ARG;Atacante;Fluminense;36;22;1498;6;0;5.2
Agustín Canobbio;URU;Atacante;Fluminense;26;30;2108;4;2;5.8
Aitor Cantalapiedra;ESP;Meio-Campista;Vitória;28;19;1275;3;3;2.9
Juninho Capixaba;BRA;Defensor;RB Bragantino;27;24;1972;1;1;2.4
Johan Carbonero;COL;Atacante;Internacional;25;23;1457;5;2;4.6
Felipe Cardoso;BRA;Atacante;Vitória;21;3;78;0;0;0.1
Edson Carioca;BRA;Atacante;Mirassol;27;21;1168;4;2;3.7
Igor Cariús;BRA;Defensor;Sport Recife;31;28;1726;1;0;1.1
Carlinhos;BRA;Atacante;Vitória;27;6;165;1;0;1.5
Antonio Carlos;BRA;Defensor;Sport Recife;31;3;270;0;0;0.0
Jean Carlos Vicente;BRA;Meio-Campista;Juventude;32;7;203;0;0;0.2
Ruan Carneiro;BRA;Goleiro;Juventude;34;4;360;0;0;0.0
Jorge Carrascal;COL;Atacante;Flamengo;26;16;821;2;5;2.3
André Carrillo;PER;Meio-Campista;Corinthians;33;22;1279;1;0;1.1
Gabriel Carvalho;BRA;Atacante;Internacional;17;3;72;0;0;0.1
Cássio;BRA;Goleiro;Cruzeiro;37;35;3086;0;0;0.0
Iury de Castilho;BRA;Atacante;Mirassol;29;9;499;1;0;1.5
Caue;BRA;Defensor;RB Bragantino;18;2;41;0;1;0.0
Murilo Cerqueira;BRA;Defensor;Palmeiras;27;20;1660;1;1;0.6
Julio Cesar;BRA;Defensor;Fluminense;18;3;176;0;1;0.3
Kayky Chagas;BRA;Atacante;Bahia;21;26;890;1;2;1.4
