player;nationality;position;team;age;matches;minutes;goals;assists;xg
Gabriel Veron;BRA;Atacante;Juventude;22;13;639;0;0;0.4
João Victor;BRA;Defensor;Mirassol;27;34;3059;2;1;2.4
João Victor;BRA;Atacante;Ceará;20;1;6;0;0;0.0
João Victor;BRA;Defensor;Vasco da Gama;26;16;1435;1;0;1.6
João Victor;BRA;Defensor;Flamengo;18;4;194;0;0;0.0
Marcos Victor;BRA;Defensor;Ceará;23;15;1343;0;1;1.0
Lucas Vieira;BRA;Meio-Campista;Flamengo;17;1;22;0;0;0.0
Viery;BRA;Defensor;Grêmio;20;3;50;0;0;0.0
Lucas Villalba;ARG;Defensor;Cruzeiro;30;32;2864;1;0;1.8
Mathías Villasanti;PAR;Meio-Campista;Grêmio;28;16;1150;0;0;0.1
Matías Viña;URU;Defensor;Flamengo;27;8;281;0;0;0.0
Vinícius;BRA;Meio-Campista;Ceará;33;16;567;0;1;1.9
Alix Vinicius;BRA;Defensor;RB Bragantino;25;11;862;0;0;0.7
Carlos Vinícius;BRA;Atacante;Grêmio;29;14;942;12;1;6.5
Vitão;BRA;Defensor;Internacional;24;31;2719;0;2;1.0
Vitinho;BRA;Atacante;Internacional;25;27;1679;5;1;4.6
Vitinho;BRA;Atacante;Corinthians;31;12;479;0;3;0.4
Vitinho;BRA;Defensor;Botafogo (RJ);25;36;2831;1;2;2.0
Rayan Vitor;BRA;Atacante;Vasco da Gama;18;34;2835;14;1;9.0
Tiago Volpi;BRA;Goleiro;Grêmio;34;32;2880;2;0;1.6
Wagner;BRA;Defensor;Grêmio;25;29;2369;0;2;1.9
Walace;BRA;Meio-Campista;Cruzeiro;29;17;384;0;0;0.0
Wallace;BRA;Atacante;Flamengo;19;17;443;1;2;1.9
Walter;BRA;Goleiro;Mirassol;37;31;2790;0;0;0.0
Wanderson;BRA;Atacante;Cruzeiro;30;27;1792;0;2;2.2
Deivid Washington;BRA;Atacante;Santos;19;17;557;1;0;1.3
José Welison;BRA;Meio-Campista;Fortaleza;29;9;437;0;0;0.2
João Wellington;BRA;Atacante;Cruzeiro;21;5;139;0;0;0.1
Wendell;BRA;Meio-Campista;Vitória;19;1;66;0;0;0.0
Wendell;BRA;Defensor;São Paulo;31;16;838;0;1;0.3
Wesley;BRA;Atacante;Internacional;25;18;1233;0;3;2.3
Wesley;BRA;Defensor;Flamengo;21;11;982;1;2;0.3
Weverson;BRA;Defensor;Fortaleza;24;4;219;0;0;0.1
Wéverton;BRA;Goleiro;Palmeiras;37;26;2340;0;0;0.0
William;BRA;Defensor;Cruzeiro;29;30;2281;0;6;0.7
Willian;BRA;Meio-Campista;Vitória;31;20;1411;1;0;1.0
Willian;BRA;Meio-Campista;Grêmio;36;6;308;1;2;0.8
Estêvão Willian;BRA;Meio-Campista;Palmeiras;17;11;831;0;3;1.2
Mateus Xavier;BRA;Atacante;Santos;17;3;39;0;0;0.0
Samuel Xavier;BRA;Defensor;Fluminense;34;29;2385;4;1;0.7
Yago;BRA;Meio-Campista;Mirassol;29;19;630;0;1;0.6
Yago;BRA;Meio-Campista;Internacional;17;2;73;0;0;0.0
Young;BRA;Goleiro;São Paulo;22;3;270;0;0;0.0
Vinícius Zanocelo;BRA;Meio-Campista;Ceará;24;15;1087;1;0;0.6
Lukas Zuccarello;BRA;Atacante;Vasco da Gama;18;2;24;0;0;0.0
